loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3091,4.842110633850098,1.80032e-05,1.0,625,,,,,,,,,,,,,
0.1826,2.859170436859131,1.60032e-05,2.0,1250,,,,,,,,,,,,,
0.1088,0.6089364290237427,1.4003200000000002e-05,3.0,1875,,,,,,,,,,,,,
0.065,16.360395431518555,1.2003200000000002e-05,4.0,2500,,,,,,,,,,,,,
0.0407,0.038735851645469666,1.0003200000000001e-05,5.0,3125,,,,,,,,,,,,,
0.0259,1.2865839004516602,8.003200000000002e-06,6.0,3750,,,,,,,,,,,,,
0.019,1.241469144821167,6.0032e-06,7.0,4375,,,,,,,,,,,,,
0.0128,0.020683161914348602,4.0032e-06,8.0,5000,,,,,,,,,,,,,
0.0085,0.014022177085280418,2.0032e-06,9.0,5625,,,,,,,,,,,,,
0.0075,0.03711835294961929,3.2000000000000005e-09,10.0,6250,,,,,,,,,,,,,
